ELM Loss
0.216
0.189
0.159
0.158
0.145
0.132
0.136
0.135
0.127
0.123
0.121
0.114
0.113
0.110
0.112
0.113
0.109
0.110
0.107
0.108
0.105
0.108
0.104
0.105
0.103
