ELM Loss
0.206
0.193
0.158
0.148
0.146
0.137
0.120
0.127
0.118
0.124
0.114
0.117
0.119
0.106
0.111
0.111
0.107
0.108
0.105
0.103
0.105
0.104
0.107
0.103
0.104
