MLP Train Loss,MLP Test Loss
0.21341314315795898,0.21416422128677368
0.2226962447166443,0.22325060963630677
0.22604128420352937,0.22582225799560546
0.22284415364265442,0.22390658855438234
0.22231208384037018,0.2243022531270981
0.19032044112682342,0.19358424544334413
0.22225456237792968,0.22392700016498565
0.2227317750453949,0.22381822764873505
0.2243200123310089,0.22515771090984343
0.22244839370250702,0.22409137189388276
0.1560431867837906,0.15783148109912873
0.22225805819034578,0.22395306825637817
0.22208877503871918,0.2239928811788559
0.22213882505893706,0.22379136085510254
0.22227252423763275,0.2241588681936264
0.1663228839635849,0.16899384260177613
0.2175050288438797,0.2195446789264679
0.2218635708093643,0.223714679479599
0.22230802178382875,0.2238025486469269
0.22204743027687074,0.22402401268482208
0.1571028634905815,0.1596771627664566
0.22210685908794403,0.22434642314910888
0.22189418375492095,0.22382494509220124
0.2219981849193573,0.22399920225143433
0.2221402645111084,0.22373608350753785
